name,sku,slug,description,price,discount_price,stock,images
Samsung Phone Model 28,SAM-00028,samsung-phone-28,Samsung Phone Model 28 description,728,647,360,samsung-phone-28-1.jpg|samsung-phone-28-2.jpg|samsung-phone-28-3.jpg|samsung-phone-28-4.jpg
Sony Headphones Model 29,SON-00029,sony-headphones-29,Sony Headphones Model 29 description,509,485,412,sony-headphones-29-1.jpg|sony-headphones-29-2.jpg|sony-headphones-29-3.jpg|sony-headphones-29-4.jpg
Lenovo Camera Model 30,LEN-00030,lenovo-camera-30,Lenovo Camera Model 30 description,992,943,131,lenovo-camera-30-1.jpg|lenovo-camera-30-2.jpg|lenovo-camera-30-3.jpg
Apple Watch Model 31,APP-00031,apple-watch-31,Apple Watch Model 31 description,412,386,152,apple-watch-31-1.jpg|apple-watch-31-2.jpg
OnePlus Headphones Model 32,ONE-00032,oneplus-headphones-32,OnePlus Headphones Model 32 description,713,699,483,oneplus-headphones-32-1.jpg|oneplus-headphones-32-2.jpg|oneplus-headphones-32-3.jpg
HP Tablet Model 33,HP-00033,hp-tablet-33,HP Tablet Model 33 description,1721,1685,434,hp-tablet-33-1.jpg|hp-tablet-33-2.jpg|hp-tablet-33-3.jpg|hp-tablet-33-4.jpg
Acer Watch Model 34,ACE-00034,acer-watch-34,Acer Watch Model 34 description,1128,952,108,acer-watch-34-1.jpg|acer-watch-34-2.jpg|acer-watch-34-3.jpg
Dell Camera Model 35,DEL-00035,dell-camera-35,Dell Camera Model 35 description,1794,1617,202,dell-camera-35-1.jpg|dell-camera-35-2.jpg|dell-camera-35-3.jpg
OnePlus Tablet Model 36,ONE-00036,oneplus-tablet-36,OnePlus Tablet Model 36 description,2008,1823,300,oneplus-tablet-36-1.jpg|oneplus-tablet-36-2.jpg
Acer Tablet Model 37,ACE-00037,acer-tablet-37,Acer Tablet Model 37 description,325,227,139,acer-tablet-37-1.jpg|acer-tablet-37-2.jpg
Sony Laptop Model 38,SON-00038,sony-laptop-38,Sony Laptop Model 38 description,1213,1151,318,sony-laptop-38-1.jpg|sony-laptop-38-2.jpg|sony-laptop-38-3.jpg|sony-laptop-38-4.jpg
Samsung Camera Model 39,SAM-00039,samsung-camera-39,Samsung Camera Model 39 description,2384,2320,117,samsung-camera-39-1.jpg|samsung-camera-39-2.jpg|samsung-camera-39-3.jpg
HP Headphones Model 40,HP-00040,hp-headphones-40,HP Headphones Model 40 description,111,42,154,hp-headphones-40-1.jpg|hp-headphones-40-2.jpg|hp-headphones-40-3.jpg|hp-headphones-40-4.jpg
HP Headphones Model 41,HP-00041,hp-headphones-41,HP Headphones Model 41 description,2450,2425,88,hp-headphones-41-1.jpg|hp-headphones-41-2.jpg
Asus Camera Model 42,ASU-00042,asus-camera-42,Asus Camera Model 42 description,2001,1961,283,asus-camera-42-1.jpg|asus-camera-42-2.jpg|asus-camera-42-3.jpg|asus-camera-42-4.jpg
Sony Camera Model 43,SON-00043,sony-camera-43,Sony Camera Model 43 description,159,43,158,sony-camera-43-1.jpg|sony-camera-43-2.jpg|sony-camera-43-3.jpg|sony-camera-43-4.jpg
Lenovo Watch Model 44,LEN-00044,lenovo-watch-44,Lenovo Watch Model 44 description,774,643,356,lenovo-watch-44-1.jpg|lenovo-watch-44-2.jpg|lenovo-watch-44-3.jpg
Asus Tablet Model 45,ASU-00045,asus-tablet-45,Asus Tablet Model 45 description,657,564,126,asus-tablet-45-1.jpg|asus-tablet-45-2.jpg|asus-tablet-45-3.jpg
Lenovo Watch Model 46,LEN-00046,lenovo-watch-46,Lenovo Watch Model 46 description,306,223,347,lenovo-watch-46-1.jpg|lenovo-watch-46-2.jpg|lenovo-watch-46-3.jpg|lenovo-watch-46-4.jpg
Apple Laptop Model 47,APP-00047,apple-laptop-47,Apple Laptop Model 47 description,1939,1854,419,apple-laptop-47-1.jpg|apple-laptop-47-2.jpg|apple-laptop-47-3.jpg|apple-laptop-47-4.jpg
HP Tablet Model 48,HP-00048,hp-tablet-48,HP Tablet Model 48 description,819,709,50,hp-tablet-48-1.jpg|hp-tablet-48-2.jpg|hp-tablet-48-3.jpg
Lenovo Phone Model 49,LEN-00049,lenovo-phone-49,Lenovo Phone Model 49 description,1370,1179,185,lenovo-phone-49-1.jpg|lenovo-phone-49-2.jpg|lenovo-phone-49-3.jpg
Sony Headphones Model 50,SON-00050,sony-headphones-50,Sony Headphones Model 50 description,1121,951,169,sony-headphones-50-1.jpg|sony-headphones-50-2.jpg
Dell Watch Model 51,DEL-00051,dell-watch-51,Dell Watch Model 51 description,1658,1520,378,dell-watch-51-1.jpg|dell-watch-51-2.jpg
Samsung Watch Model 52,SAM-00052,samsung-watch-52,Samsung Watch Model 52 description,1002,937,388,samsung-watch-52-1.jpg|samsung-watch-52-2.jpg|samsung-watch-52-3.jpg
Dell Tablet Model 53,DEL-00053,dell-tablet-53,Dell Tablet Model 53 description,540,375,463,dell-tablet-53-1.jpg|dell-tablet-53-2.jpg|dell-tablet-53-3.jpg|dell-tablet-53-4.jpg
Asus Camera Model 54,ASU-00054,asus-camera-54,Asus Camera Model 54 description,1103,1098,227,asus-camera-54-1.jpg|asus-camera-54-2.jpg
Apple Watch Model 55,APP-00055,apple-watch-55,Apple Watch Model 55 description,1895,1836,73,apple-watch-55-1.jpg|apple-watch-55-2.jpg
Dell Headphones Model 56,DEL-00056,dell-headphones-56,Dell Headphones Model 56 description,581,473,70,dell-headphones-56-1.jpg|dell-headphones-56-2.jpg|dell-headphones-56-3.jpg
Apple Tablet Model 57,APP-00057,apple-tablet-57,Apple Tablet Model 57 description,1469,1299,409,apple-tablet-57-1.jpg|apple-tablet-57-2.jpg
Acer Camera Model 58,ACE-00058,acer-camera-58,Acer Camera Model 58 description,252,139,74,acer-camera-58-1.jpg|acer-camera-58-2.jpg|acer-camera-58-3.jpg
Dell Camera Model 59,DEL-00059,dell-camera-59,Dell Camera Model 59 description,1744,1625,419,dell-camera-59-1.jpg|dell-camera-59-2.jpg
Sony Camera Model 60,SON-00060,sony-camera-60,Sony Camera Model 60 description,2285,2124,368,sony-camera-60-1.jpg|sony-camera-60-2.jpg
Apple Watch Model 61,APP-00061,apple-watch-61,Apple Watch Model 61 description,537,523,374,apple-watch-61-1.jpg|apple-watch-61-2.jpg|apple-watch-61-3.jpg
Samsung Phone Model 62,SAM-00062,samsung-phone-62,Samsung Phone Model 62 description,1398,1296,474,samsung-phone-62-1.jpg|samsung-phone-62-2.jpg
Asus Headphones Model 63,ASU-00063,asus-headphones-63,Asus Headphones Model 63 description,1712,1573,124,asus-headphones-63-1.jpg|asus-headphones-63-2.jpg|asus-headphones-63-3.jpg
HP Tablet Model 64,HP-00064,hp-tablet-64,HP Tablet Model 64 description,116,66,86,hp-tablet-64-1.jpg|hp-tablet-64-2.jpg
Lenovo Tablet Model 65,LEN-00065,lenovo-tablet-65,Lenovo Tablet Model 65 description,2034,2009,327,lenovo-tablet-65-1.jpg|lenovo-tablet-65-2.jpg|lenovo-tablet-65-3.jpg|lenovo-tablet-65-4.jpg
OnePlus Phone Model 66,ONE-00066,oneplus-phone-66,OnePlus Phone Model 66 description,1640,1607,67,oneplus-phone-66-1.jpg|oneplus-phone-66-2.jpg
Dell Headphones Model 67,DEL-00067,dell-headphones-67,Dell Headphones Model 67 description,1104,974,291,dell-headphones-67-1.jpg|dell-headphones-67-2.jpg|dell-headphones-67-3.jpg
Dell Headphones Model 68,DEL-00068,dell-headphones-68,Dell Headphones Model 68 description,1589,1470,435,dell-headphones-68-1.jpg|dell-headphones-68-2.jpg|dell-headphones-68-3.jpg
HP Phone Model 69,HP-00069,hp-phone-69,HP Phone Model 69 description,2011,1869,96,hp-phone-69-1.jpg|hp-phone-69-2.jpg|hp-phone-69-3.jpg
Acer Tablet Model 70,ACE-00070,acer-tablet-70,Acer Tablet Model 70 description,2211,2180,110,acer-tablet-70-1.jpg|acer-tablet-70-2.jpg|acer-tablet-70-3.jpg|acer-tablet-70-4.jpg
Acer Tablet Model 71,ACE-00071,acer-tablet-71,Acer Tablet Model 71 description,655,645,498,acer-tablet-71-1.jpg|acer-tablet-71-2.jpg|acer-tablet-71-3.jpg
OnePlus Phone Model 72,ONE-00072,oneplus-phone-72,OnePlus Phone Model 72 description,366,236,448,oneplus-phone-72-1.jpg|oneplus-phone-72-2.jpg
Sony Headphones Model 73,SON-00073,sony-headphones-73,Sony Headphones Model 73 description,977,891,303,sony-headphones-73-1.jpg|sony-headphones-73-2.jpg|sony-headphones-73-3.jpg|sony-headphones-73-4.jpg
Asus Watch Model 74,ASU-00074,asus-watch-74,Asus Watch Model 74 description,557,457,42,asus-watch-74-1.jpg|asus-watch-74-2.jpg
Xiaomi Watch Model 75,XIA-00075,xiaomi-watch-75,Xiaomi Watch Model 75 description,2113,2050,114,xiaomi-watch-75-1.jpg|xiaomi-watch-75-2.jpg|xiaomi-watch-75-3.jpg
Acer Headphones Model 76,ACE-00076,acer-headphones-76,Acer Headphones Model 76 description,871,814,445,acer-headphones-76-1.jpg|acer-headphones-76-2.jpg
Xiaomi Laptop Model 77,XIA-00077,xiaomi-laptop-77,Xiaomi Laptop Model 77 description,769,650,104,xiaomi-laptop-77-1.jpg|xiaomi-laptop-77-2.jpg|xiaomi-laptop-77-3.jpg
Asus Headphones Model 78,ASU-00078,asus-headphones-78,Asus Headphones Model 78 description,1486,1416,446,asus-headphones-78-1.jpg|asus-headphones-78-2.jpg
OnePlus Phone Model 79,ONE-00079,oneplus-phone-79,OnePlus Phone Model 79 description,728,670,286,oneplus-phone-79-1.jpg|oneplus-phone-79-2.jpg
Lenovo Camera Model 80,LEN-00080,lenovo-camera-80,Lenovo Camera Model 80 description,1979,1908,353,lenovo-camera-80-1.jpg|lenovo-camera-80-2.jpg|lenovo-camera-80-3.jpg
OnePlus Phone Model 81,ONE-00081,oneplus-phone-81,OnePlus Phone Model 81 description,874,822,63,oneplus-phone-81-1.jpg|oneplus-phone-81-2.jpg
Acer Headphones Model 82,ACE-00082,acer-headphones-82,Acer Headphones Model 82 description,1289,1104,175,acer-headphones-82-1.jpg|acer-headphones-82-2.jpg|acer-headphones-82-3.jpg
Sony Tablet Model 83,SON-00083,sony-tablet-83,Sony Tablet Model 83 description,811,624,273,sony-tablet-83-1.jpg|sony-tablet-83-2.jpg
Samsung Headphones Model 84,SAM-00084,samsung-headphones-84,Samsung Headphones Model 84 description,1203,1034,324,samsung-headphones-84-1.jpg|samsung-headphones-84-2.jpg|samsung-headphones-84-3.jpg
Acer Camera Model 85,ACE-00085,acer-camera-85,Acer Camera Model 85 description,544,434,331,acer-camera-85-1.jpg|acer-camera-85-2.jpg|acer-camera-85-3.jpg|acer-camera-85-4.jpg
Lenovo Camera Model 86,LEN-00086,lenovo-camera-86,Lenovo Camera Model 86 description,1060,995,392,lenovo-camera-86-1.jpg|lenovo-camera-86-2.jpg|lenovo-camera-86-3.jpg
Acer Phone Model 87,ACE-00087,acer-phone-87,Acer Phone Model 87 description,2090,2012,400,acer-phone-87-1.jpg|acer-phone-87-2.jpg
Sony Camera Model 88,SON-00088,sony-camera-88,Sony Camera Model 88 description,1227,1051,421,sony-camera-88-1.jpg|sony-camera-88-2.jpg
Dell Phone Model 89,DEL-00089,dell-phone-89,Dell Phone Model 89 description,1507,1350,302,dell-phone-89-1.jpg|dell-phone-89-2.jpg|dell-phone-89-3.jpg|dell-phone-89-4.jpg
Samsung Headphones Model 90,SAM-00090,samsung-headphones-90,Samsung Headphones Model 90 description,1154,1119,218,samsung-headphones-90-1.jpg|samsung-headphones-90-2.jpg|samsung-headphones-90-3.jpg|samsung-headphones-90-4.jpg
Xiaomi Laptop Model 91,XIA-00091,xiaomi-laptop-91,Xiaomi Laptop Model 91 description,721,650,313,xiaomi-laptop-91-1.jpg|xiaomi-laptop-91-2.jpg|xiaomi-laptop-91-3.jpg|xiaomi-laptop-91-4.jpg
Xiaomi Headphones Model 92,XIA-00092,xiaomi-headphones-92,Xiaomi Headphones Model 92 description,1632,1547,327,xiaomi-headphones-92-1.jpg|xiaomi-headphones-92-2.jpg
Asus Headphones Model 93,ASU-00093,asus-headphones-93,Asus Headphones Model 93 description,2167,2073,185,asus-headphones-93-1.jpg|asus-headphones-93-2.jpg|asus-headphones-93-3.jpg
Acer Tablet Model 94,ACE-00094,acer-tablet-94,Acer Tablet Model 94 description,1167,1082,206,acer-tablet-94-1.jpg|acer-tablet-94-2.jpg
Dell Headphones Model 95,DEL-00095,dell-headphones-95,Dell Headphones Model 95 description,1432,1370,15,dell-headphones-95-1.jpg|dell-headphones-95-2.jpg|dell-headphones-95-3.jpg|dell-headphones-95-4.jpg
Samsung Tablet Model 96,SAM-00096,samsung-tablet-96,Samsung Tablet Model 96 description,370,273,6,samsung-tablet-96-1.jpg|samsung-tablet-96-2.jpg|samsung-tablet-96-3.jpg|samsung-tablet-96-4.jpg
OnePlus Camera Model 97,ONE-00097,oneplus-camera-97,OnePlus Camera Model 97 description,412,406,166,oneplus-camera-97-1.jpg|oneplus-camera-97-2.jpg
HP Laptop Model 98,HP-00098,hp-laptop-98,HP Laptop Model 98 description,1857,1829,402,hp-laptop-98-1.jpg|hp-laptop-98-2.jpg
Asus Laptop Model 99,ASU-00099,asus-laptop-99,Asus Laptop Model 99 description,720,556,478,asus-laptop-99-1.jpg|asus-laptop-99-2.jpg|asus-laptop-99-3.jpg|asus-laptop-99-4.jpg
Samsung Headphones Model 100,SAM-00100,samsung-headphones-100,Samsung Headphones Model 100 description,1248,1147,60,samsung-headphones-100-1.jpg|samsung-headphones-100-2.jpg|samsung-headphones-100-3.jpg
Samsung Headphones Model 101,SAM-00101,samsung-headphones-101,Samsung Headphones Model 101 description,288,206,460,samsung-headphones-101-1.jpg|samsung-headphones-101-2.jpg|samsung-headphones-101-3.jpg|samsung-headphones-101-4.jpg
Sony Laptop Model 102,SON-00102,sony-laptop-102,Sony Laptop Model 102 description,293,188,295,sony-laptop-102-1.jpg|sony-laptop-102-2.jpg|sony-laptop-102-3.jpg|sony-laptop-102-4.jpg
Acer Camera Model 103,ACE-00103,acer-camera-103,Acer Camera Model 103 description,2358,2262,395,acer-camera-103-1.jpg|acer-camera-103-2.jpg
Apple Watch Model 104,APP-00104,apple-watch-104,Apple Watch Model 104 description,1255,1065,280,apple-watch-104-1.jpg|apple-watch-104-2.jpg|apple-watch-104-3.jpg
Asus Phone Model 105,ASU-00105,asus-phone-105,Asus Phone Model 105 description,170,112,245,asus-phone-105-1.jpg|asus-phone-105-2.jpg|asus-phone-105-3.jpg|asus-phone-105-4.jpg
OnePlus Tablet Model 106,ONE-00106,oneplus-tablet-106,OnePlus Tablet Model 106 description,977,955,170,oneplus-tablet-106-1.jpg|oneplus-tablet-106-2.jpg|oneplus-tablet-106-3.jpg|oneplus-tablet-106-4.jpg
Lenovo Laptop Model 107,LEN-00107,lenovo-laptop-107,Lenovo Laptop Model 107 description,981,812,398,lenovo-laptop-107-1.jpg|lenovo-laptop-107-2.jpg
Apple Laptop Model 108,APP-00108,apple-laptop-108,Apple Laptop Model 108 description,2227,2083,256,apple-laptop-108-1.jpg|apple-laptop-108-2.jpg|apple-laptop-108-3.jpg|apple-laptop-108-4.jpg
Apple Laptop Model 109,APP-00109,apple-laptop-109,Apple Laptop Model 109 description,149,38,309,apple-laptop-109-1.jpg|apple-laptop-109-2.jpg|apple-laptop-109-3.jpg|apple-laptop-109-4.jpg
Acer Tablet Model 110,ACE-00110,acer-tablet-110,Acer Tablet Model 110 description,2412,2352,301,acer-tablet-110-1.jpg|acer-tablet-110-2.jpg|acer-tablet-110-3.jpg|acer-tablet-110-4.jpg
Xiaomi Phone Model 111,XIA-00111,xiaomi-phone-111,Xiaomi Phone Model 111 description,1772,1626,258,xiaomi-phone-111-1.jpg|xiaomi-phone-111-2.jpg|xiaomi-phone-111-3.jpg
OnePlus Camera Model 112,ONE-00112,oneplus-camera-112,OnePlus Camera Model 112 description,704,664,197,oneplus-camera-112-1.jpg|oneplus-camera-112-2.jpg
Lenovo Phone Model 113,LEN-00113,lenovo-phone-113,Lenovo Phone Model 113 description,2448,2367,154,lenovo-phone-113-1.jpg|lenovo-phone-113-2.jpg|lenovo-phone-113-3.jpg|lenovo-phone-113-4.jpg
Asus Camera Model 114,ASU-00114,asus-camera-114,Asus Camera Model 114 description,1413,1407,469,asus-camera-114-1.jpg|asus-camera-114-2.jpg|asus-camera-114-3.jpg|asus-camera-114-4.jpg
Samsung Camera Model 115,SAM-00115,samsung-camera-115,Samsung Camera Model 115 description,498,406,202,samsung-camera-115-1.jpg|samsung-camera-115-2.jpg
Xiaomi Laptop Model 116,XIA-00116,xiaomi-laptop-116,Xiaomi Laptop Model 116 description,2251,2110,87,xiaomi-laptop-116-1.jpg|xiaomi-laptop-116-2.jpg|xiaomi-laptop-116-3.jpg
Asus Watch Model 117,ASU-00117,asus-watch-117,Asus Watch Model 117 description,2356,2188,491,asus-watch-117-1.jpg|asus-watch-117-2.jpg|asus-watch-117-3.jpg|asus-watch-117-4.jpg
OnePlus Laptop Model 118,ONE-00118,oneplus-laptop-118,OnePlus Laptop Model 118 description,2361,2352,166,oneplus-laptop-118-1.jpg|oneplus-laptop-118-2.jpg|oneplus-laptop-118-3.jpg|oneplus-laptop-118-4.jpg
Lenovo Camera Model 119,LEN-00119,lenovo-camera-119,Lenovo Camera Model 119 description,1268,1069,335,lenovo-camera-119-1.jpg|lenovo-camera-119-2.jpg|lenovo-camera-119-3.jpg
Acer Headphones Model 120,ACE-00120,acer-headphones-120,Acer Headphones Model 120 description,604,520,289,acer-headphones-120-1.jpg|acer-headphones-120-2.jpg|acer-headphones-120-3.jpg|acer-headphones-120-4.jpg
Xiaomi Watch Model 121,XIA-00121,xiaomi-watch-121,Xiaomi Watch Model 121 description,669,565,192,xiaomi-watch-121-1.jpg|xiaomi-watch-121-2.jpg
Lenovo Camera Model 122,LEN-00122,lenovo-camera-122,Lenovo Camera Model 122 description,507,469,189,lenovo-camera-122-1.jpg|lenovo-camera-122-2.jpg|lenovo-camera-122-3.jpg|lenovo-camera-122-4.jpg
Acer Phone Model 123,ACE-00123,acer-phone-123,Acer Phone Model 123 description,549,364,418,acer-phone-123-1.jpg|acer-phone-123-2.jpg|acer-phone-123-3.jpg|acer-phone-123-4.jpg
Acer Tablet Model 124,ACE-00124,acer-tablet-124,Acer Tablet Model 124 description,1940,1828,165,acer-tablet-124-1.jpg|acer-tablet-124-2.jpg
OnePlus Phone Model 125,ONE-00125,oneplus-phone-125,OnePlus Phone Model 125 description,2493,2354,299,oneplus-phone-125-1.jpg|oneplus-phone-125-2.jpg
HP Camera Model 126,HP-00126,hp-camera-126,HP Camera Model 126 description,2438,2411,276,hp-camera-126-1.jpg|hp-camera-126-2.jpg
HP Phone Model 127,HP-00127,hp-phone-127,HP Phone Model 127 description,355,293,237,hp-phone-127-1.jpg|hp-phone-127-2.jpg|hp-phone-127-3.jpg|hp-phone-127-4.jpg
Lenovo Tablet Model 128,LEN-00128,lenovo-tablet-128,Lenovo Tablet Model 128 description,2131,2054,255,lenovo-tablet-128-1.jpg|lenovo-tablet-128-2.jpg
Dell Headphones Model 129,DEL-00129,dell-headphones-129,Dell Headphones Model 129 description,1404,1362,341,dell-headphones-129-1.jpg|dell-headphones-129-2.jpg|dell-headphones-129-3.jpg|dell-headphones-129-4.jpg
Sony Watch Model 130,SON-00130,sony-watch-130,Sony Watch Model 130 description,986,910,116,sony-watch-130-1.jpg|sony-watch-130-2.jpg|sony-watch-130-3.jpg|sony-watch-130-4.jpg
Apple Watch Model 131,APP-00131,apple-watch-131,Apple Watch Model 131 description,162,12,210,apple-watch-131-1.jpg|apple-watch-131-2.jpg
HP Headphones Model 132,HP-00132,hp-headphones-132,HP Headphones Model 132 description,124,1,318,hp-headphones-132-1.jpg|hp-headphones-132-2.jpg
OnePlus Headphones Model 133,ONE-00133,oneplus-headphones-133,OnePlus Headphones Model 133 description,1142,1123,377,oneplus-headphones-133-1.jpg|oneplus-headphones-133-2.jpg|oneplus-headphones-133-3.jpg|oneplus-headphones-133-4.jpg
Sony Laptop Model 134,SON-00134,sony-laptop-134,Sony Laptop Model 134 description,2141,2069,394,sony-laptop-134-1.jpg|sony-laptop-134-2.jpg|sony-laptop-134-3.jpg|sony-laptop-134-4.jpg
Asus Watch Model 135,ASU-00135,asus-watch-135,Asus Watch Model 135 description,1965,1823,334,asus-watch-135-1.jpg|asus-watch-135-2.jpg|asus-watch-135-3.jpg
Samsung Camera Model 136,SAM-00136,samsung-camera-136,Samsung Camera Model 136 description,316,289,108,samsung-camera-136-1.jpg|samsung-camera-136-2.jpg
Apple Headphones Model 137,APP-00137,apple-headphones-137,Apple Headphones Model 137 description,341,181,407,apple-headphones-137-1.jpg|apple-headphones-137-2.jpg
Sony Phone Model 138,SON-00138,sony-phone-138,Sony Phone Model 138 description,2372,2204,478,sony-phone-138-1.jpg|sony-phone-138-2.jpg
HP Phone Model 139,HP-00139,hp-phone-139,HP Phone Model 139 description,378,303,419,hp-phone-139-1.jpg|hp-phone-139-2.jpg|hp-phone-139-3.jpg|hp-phone-139-4.jpg
OnePlus Tablet Model 140,ONE-00140,oneplus-tablet-140,OnePlus Tablet Model 140 description,2360,2316,345,oneplus-tablet-140-1.jpg|oneplus-tablet-140-2.jpg|oneplus-tablet-140-3.jpg
HP Camera Model 141,HP-00141,hp-camera-141,HP Camera Model 141 description,1399,1384,449,hp-camera-141-1.jpg|hp-camera-141-2.jpg|hp-camera-141-3.jpg|hp-camera-141-4.jpg
Sony Headphones Model 142,SON-00142,sony-headphones-142,Sony Headphones Model 142 description,2236,2058,246,sony-headphones-142-1.jpg|sony-headphones-142-2.jpg
OnePlus Phone Model 143,ONE-00143,oneplus-phone-143,OnePlus Phone Model 143 description,918,791,41,oneplus-phone-143-1.jpg|oneplus-phone-143-2.jpg|oneplus-phone-143-3.jpg|oneplus-phone-143-4.jpg
Samsung Tablet Model 144,SAM-00144,samsung-tablet-144,Samsung Tablet Model 144 description,1564,1432,314,samsung-tablet-144-1.jpg|samsung-tablet-144-2.jpg|samsung-tablet-144-3.jpg|samsung-tablet-144-4.jpg
Apple Headphones Model 145,APP-00145,apple-headphones-145,Apple Headphones Model 145 description,1827,1683,16,apple-headphones-145-1.jpg|apple-headphones-145-2.jpg|apple-headphones-145-3.jpg
Samsung Watch Model 146,SAM-00146,samsung-watch-146,Samsung Watch Model 146 description,1120,975,126,samsung-watch-146-1.jpg|samsung-watch-146-2.jpg
